Handle,Title,Type,Tags,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Grams,Image Src,Image Alt Text,Image Position,SEO Title,SEO Description
matelas-st-germain-ressorts-ensaches-30-cm-mi-ferme,Matelas ST GERMAIN ressorts ensachés 30 cm mi-ferme,Matelas,Matelas,Dimensions,160 x 200 cm,'34,489.00,799.00,0.0,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-st-germain-ressorts-ensaches-30-cm-mi-ferme-8255765.png?v=1779109099,Matelas ST GERMAIN ressorts ensachés 30 cm mi - ferme - TRUST INDUSTRIE - 160 x 200 cm - ,1,,
matelas-st-germain-ressorts-ensaches-30-cm-mi-ferme,,,,,180 x 200 cm,'34,540.00,899.00,0.0,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-st-germain-ressorts-ensaches-30-cm-mi-ferme-1367150.png?v=1779109099,Matelas ST GERMAIN ressorts ensachés 30 cm mi - ferme - TRUST INDUSTRIE - 160 x 200 cm - ,2,,
matelas-st-germain-ressorts-ensaches-30-cm-mi-ferme,,,,,,,,,,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-st-germain-ressorts-ensaches-30-cm-mi-ferme-2957556.png?v=1779109100,Matelas ST GERMAIN ressorts ensachés 30 cm mi - ferme - TRUST INDUSTRIE - 160 x 200 cm - ,3,,
sydney-180-200,Matelas mi-ferme 2 places 180X190 cm SYDNEY en mousse polyuréthane et ressorts ensachés,Matelas,"Europe, Livré roulé, Matelas",Title,Default Title,'34,711.00,1186.00,0.0,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-mi-ferme-2-places-160x200-cm-sydney-en-mousse-polyurethane-et-ressorts-ensaches-3507160.png?v=1771474711,Matelas mi - ferme 2 places 160X200 cm SYDNEY en mousse polyuréthane et ressorts ensachés - TRUST INDUSTRIE - ,1,Matelas 2 places 140X190 cm SYDNEY en mousse polyuréthane,Retrouvez le matelas mi-ferme 2 places 180X200 cm SYDNEY en mousse polyuréthane + ressorts ensachés. Livraison à domicile. Fabriqué en Europe.
sydney-180-200,,,,,,,,,,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-mi-ferme-2-places-160x200-cm-sydney-en-mousse-polyurethane-et-ressorts-ensaches-9973355.png?v=1772701385,Matelas mi - ferme 2 places 160X200 cm SYDNEY en mousse polyuréthane et ressorts ensachés - TRUST INDUSTRIE - ,2,,
sydney-180-200,,,,,,,,,,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-mi-ferme-2-places-160x200-cm-sydney-en-mousse-polyurethane-et-ressorts-ensaches-7705780.png?v=1772701385,Matelas mi - ferme 2 places 160X200 cm SYDNEY en mousse polyuréthane et ressorts ensachés - TRUST INDUSTRIE - ,3,,
matelas-mi-ferme-2-places-140x190-cm-sydney-en-mousse-polyurethane-et-ressorts-ensaches,Matelas mi-ferme 2 places SYDNEY en mousse polyuréthane et ressorts ensachés,Matelas,"Europe, Livré roulé, Matelas",Dimensions,140 x 190 cm,'34,699.00,999.00,0.0,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-mi-ferme-2-places-160x200-cm-sydney-en-mousse-polyurethane-et-ressorts-ensaches-3507160.png?v=1771474711,Matelas mi - ferme 2 places 160X200 cm SYDNEY en mousse polyuréthane et ressorts ensachés - TRUST INDUSTRIE - ,1,Matelas 2 places 140X190 cm SYDNEY en mousse polyuréthane,Retrouvez le matelas mi-ferme 2 places 140X190 cm SYDNEY en mousse polyuréthane + ressorts ensachés. Livraison à domicile. Fabriqué en Europe.
matelas-mi-ferme-2-places-140x190-cm-sydney-en-mousse-polyurethane-et-ressorts-ensaches,,,,,160 x 200 cm,'34,787.00,1124.00,0.0,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-mi-ferme-2-places-160x200-cm-sydney-en-mousse-polyurethane-et-ressorts-ensaches-9973355.png?v=1772701385,Matelas mi - ferme 2 places 160X200 cm SYDNEY en mousse polyuréthane et ressorts ensachés - TRUST INDUSTRIE - ,2,,
matelas-mi-ferme-2-places-140x190-cm-sydney-en-mousse-polyurethane-et-ressorts-ensaches,,,,,180 x 200 cm,'34,830.00,1186.00,0.0,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-mi-ferme-2-places-160x200-cm-sydney-en-mousse-polyurethane-et-ressorts-ensaches-7705780.png?v=1772701385,Matelas mi - ferme 2 places 160X200 cm SYDNEY en mousse polyuréthane et ressorts ensachés - TRUST INDUSTRIE - ,3,,
matelas-ferme-2-places-140x190-cm-monaco-en-mousse-a-memoire-de-forme-et-ressorts-ensaches,Matelas ferme 2 places MONACO en mousse à mémoire de forme et ressorts ensachés,Matelas,"Europe, Livré roulé, Matelas",Dimensions,160 x 200 cm,'34,832.00,1386.00,0.0,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-ferme-2-places-180x200-cm-monaco-en-mousse-a-memoire-de-forme-et-ressorts-ensaches-8305333.png?v=1771474706,Matelas ferme 2 places 180X200 cm MONACO en mousse à mémoire de forme et ressorts ensachés - TRUST INDUSTRIE - ,1,Matelas 2 places 140X190 cm MONACO mémoire de forme,Retrouvez le matelas ferme 2 places 140X190 cm MONACO en mousse à mémoire de forme + ressorts ensachés. Fabriqué en Europe.
matelas-ferme-2-places-140x190-cm-monaco-en-mousse-a-memoire-de-forme-et-ressorts-ensaches,,,,,,,,,,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-monaco-ressorts-ensaches-memoire-forme-soutien-ferme-couches-internes.png?v=1771409827,,2,,
matelas-ferme-2-places-140x190-cm-monaco-en-mousse-a-memoire-de-forme-et-ressorts-ensaches,,,,,,,,,,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-ferme-2-places-180x200-cm-monaco-en-mousse-a-memoire-de-forme-et-ressorts-ensaches-9490373.png?v=1771474706,Matelas ferme 2 places 180X200 cm MONACO en mousse à mémoire de forme et ressorts ensachés - TRUST INDUSTRIE - ,3,,
matelas-ferme-2-places-140x190-cm-monaco-en-mousse-a-memoire-de-forme-et-ressorts-ensaches,,,,,,,,,,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-ferme-2-places-180x200-cm-monaco-en-mousse-a-memoire-de-forme-et-ressorts-ensaches-1274803.png?v=1771474707,Matelas ferme 2 places 180X200 cm MONACO en mousse à mémoire de forme et ressorts ensachés - TRUST INDUSTRIE - ,4,,
matelas-ferme-2-places-140x190-cm-monaco-en-mousse-a-memoire-de-forme-et-ressorts-ensaches,,,,,,,,,,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-monaco-ressorts-ensaches-memoire-forme-soutien-ferme-zoom-tissu2.jpg?v=1771409709,,5,,
matelas-ferme-2-places-140x190-cm-monaco-en-mousse-a-memoire-de-forme-et-ressorts-ensaches,,,,,,,,,,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-ferme-2-places-180x200-cm-monaco-en-mousse-a-memoire-de-forme-et-ressorts-ensaches-2388818.png?v=1771474706,Matelas ferme 2 places 180X200 cm MONACO en mousse à mémoire de forme et ressorts ensachés - TRUST INDUSTRIE - ,6,,
matelas-mi-ferme-2-places-140x190-cm-new-york-en-mousse-a-memoire-de-forme-et-ressorts-ensaches,Matelas mi-ferme 2 places NEW YORK en mousse à mémoire de forme et ressorts ensachés,Matelas,"Europe, Matelas",Dimensions ,140 x 190 cm,'34,787.00,1324.00,0.0,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-mi-ferme-2-places-180x200-cm-new-york-en-mousse-a-memoire-de-forme-et-ressorts-ensaches-1543473.png?v=1771474699,Matelas mi - ferme 2 places 180X200 cm NEW YORK en mousse à mémoire de forme et ressorts ensachés - TRUST INDUSTRIE - ,1,Matelas 2 places 140X190 cm NEW YORK mémoire de forme,Retrouvez le matelas mi-ferme 2 places 140X190 cm NEW YORK en mousse à mémoire de forme + ressorts ensachés. Fabriqué en Europe.
matelas-mi-ferme-2-places-140x190-cm-new-york-en-mousse-a-memoire-de-forme-et-ressorts-ensaches,,,,,160 x 200 cm,'34,944.00,1574.00,0.0,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-mi-ferme-2-places-180x200-cm-new-york-en-mousse-a-memoire-de-forme-et-ressorts-ensaches-8214109.webp?v=1772638027,Matelas mi - ferme 2 places 180X200 cm NEW YORK en mousse à mémoire de forme et ressorts ensachés - TRUST INDUSTRIE - ,2,,
matelas-mi-ferme-2-places-140x190-cm-new-york-en-mousse-a-memoire-de-forme-et-ressorts-ensaches,,,,,180 x 200 cm,'34,1154.00,1824.00,0.0,,,,,
matelas-mi-ferme-1-place-90x190-cm-new-york-en-mousse-a-memoire-de-forme-et-ressorts-ensaches,Matelas mi-ferme 1 place 90X190 cm NEW YORK en mousse à mémoire de forme et ressorts ensachés,Matelas,"Europe, Matelas",Title,Default Title,'34,999.00,1210.00,0.0,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-mi-ferme-1-place-90x190-cm-new-york-en-mousse-a-memoire-de-forme-et-ressorts-ensaches-5566348.jpg?v=1772717594,Matelas mi - ferme 1 place 90X190 cm NEW YORK en mousse à mémoire de forme et ressorts ensachés - TRUST INDUSTRIE - ,1,Matelas 1 place 90X190 cm NEW YORK mémoire de forme,Retrouvez le matelas mi-ferme 1 place 90X190 cm NEW YORK en mousse à mémoire de forme + ressorts ensachés. Fabriqué en Europe.
matelas-mi-ferme-1-place-90x190-cm-new-york-en-mousse-a-memoire-de-forme-et-ressorts-ensaches,,,,,,,,,,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-mi-ferme-2-places-180x200-cm-new-york-en-mousse-a-memoire-de-forme-et-ressorts-ensaches-8214109.webp?v=1772638027,Matelas mi - ferme 2 places 180X200 cm NEW YORK en mousse à mémoire de forme et ressorts ensachés - TRUST INDUSTRIE - ,2,,
matelas-ferme-2-places-140x190-cm-las-vegas-mousse-a-memoire-de-forme-et-ressorts-ensaches,Matelas ferme 2 places  LAS VEGAS mousse à mémoire de forme et ressorts ensachés,Matelas,"Europe, Livré roulé, Matelas",Dimensions,140 x 190 cm,'34,769.00,1124.00,0.0,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-ferme-2-places-140x190-cm-las-vegas-mousse-a-memoire-de-forme-et-ressorts-ensaches-6720894.jpg?v=1771474700,Matelas ferme 2 places 140X190 cm LAS VEGAS mousse à mémoire de forme et ressorts ensachés - TRUST INDUSTRIE - ,1,Matelas 2 places 140X190 cm LAS VEGAS mémoire de forme,Retrouvez le matelas ferme 2 places 140X190 cm LAS VEGAS mousse à mémoire de forme + ressorts ensachés. Fabriqué en Europe.
matelas-ferme-2-places-140x190-cm-las-vegas-mousse-a-memoire-de-forme-et-ressorts-ensaches,,,,,160 x 200 cm,'34,804.00,1186.00,0.0,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-ferme-2-places-180x200-cm-las-vegas-en-mousse-a-memoire-de-forme-et-ressorts-ensaches-6788621.png?v=1772698772,Matelas ferme 2 places 180X200 cm LAS VEGAS en mousse à mémoire de forme et ressorts ensachés - TRUST INDUSTRIE - ,2,,
matelas-ferme-2-places-140x190-cm-las-vegas-mousse-a-memoire-de-forme-et-ressorts-ensaches,,,,,180 x 200 cm,'34,874.00,1311.00,0.0,,,,,
matelas-ferme-1-place-90x190-cm-las-vegas-mousse-a-memoire-de-forme-et-ressorts-ensaches,Matelas ferme 1 place 90X190 cm LAS VEGAS mousse à mémoire de forme et ressorts ensachés,Matelas,"Europe, Livré roulé, Matelas",Title,Default Title,'34,559.00,811.00,0.0,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-ferme-1-place-90x190-cm-las-vegas-mousse-a-memoire-de-forme-et-ressorts-ensaches-8291607.jpg?v=1772717595,Matelas ferme 1 place 90X190 cm LAS VEGAS mousse à mémoire de forme et ressorts ensachés - TRUST INDUSTRIE - ,1,Matelas 1 place 90X190 cm LAS VEGAS mémoire de forme,Retrouvez le matelas ferme 1 places 90X190 cm LAS VEGAS en mousse à mémoire de forme + ressorts ensachés. Fabriqué en Europe.
matelas-ferme-1-place-90x190-cm-las-vegas-mousse-a-memoire-de-forme-et-ressorts-ensaches,,,,,,,,,,https://cdn.shopify.com/s/files/1/0996/7245/7553/files/matelas-ferme-2-places-180x200-cm-las-vegas-en-mousse-a-memoire-de-forme-et-ressorts-ensaches-6788621.png?v=1772698772,Matelas ferme 2 places 180X200 cm LAS VEGAS en mousse à mémoire de forme et ressorts ensachés - TRUST INDUSTRIE - ,2,,
